name,price,img
  Snack Toffy Surtido para Perro - 250 Gr.,2.99,https://img1.petsonic.com/15880-large_default/nayeco-snack-toffy-surtido-para-perros.jpg
  Barrita de Cordero - 500 Gr.,4.49,https://img1.petsonic.com/15887-large_default/nayeco-barrita-cordero-para-perros.jpg
  Delidog Barritas de Pollo - 800 Gr.,7.99,https://img1.petsonic.com/14047-large_default/delidog-barritas-pollo-para-perros.jpg
  Delidog Barritas de Buey - 800 Gr.,7.99,https://img2.petsonic.com/14048-large_default/delidog-barritas-buey-para-perros.jpg
  Delidog Barritas de Salmón - 800 Gr.,7.99,https://img2.petsonic.com/14049-large_default/delidog-barritas-salmon-para-perros.jpg
  Delidog Barritas de Cordero - 800 Gr.,7.99,https://img3.petsonic.com/14050-large_default/delidog-barritas-cordero-para-perros.jpg
  Delidog Barritas Grain Free - 800 Gr.,7.99,https://img1.petsonic.com/14061-large_default/delidog-barritas-grain-free-para-perros.jpg
  Bocaditos Tiernos de Salmón para Perro - 1 Unidad.,1.49,https://img1.petsonic.com/11081-large_default/hobbit-alf-bocaditos-tiernos-salmon-para-perros.jpg
  Bocaditos Tiernos de Salmón para Perro - 16 Unidades,18.95,https://img1.petsonic.com/11081-large_default/hobbit-alf-bocaditos-tiernos-salmon-para-perros.jpg
  Estrellas Tiernas de Salmón y Queso para Perro - 1 Unidad.,1.42,https://img1.petsonic.com/11078-large_default/hobbit-alf-estrellas-tiernas-salmon-queso-para-perros.jpg
  Estrellas Tiernas de Salmón y Queso para Perro - 16 Unidades,18.95,https://img1.petsonic.com/11078-large_default/hobbit-alf-estrellas-tiernas-salmon-queso-para-perros.jpg
  Estrellita Tiernas de Salmón para Perro - 1 Unidad.,1.49,https://img1.petsonic.com/11079-large_default/hobbit-alf-estrellita-tiernas-salmon-para-perros.jpg
  Estrellita Tiernas de Salmón para Perro - 16 Unidades,18.95,https://img1.petsonic.com/11079-large_default/hobbit-alf-estrellita-tiernas-salmon-para-perros.jpg
  Estrellas Tiernas de Avestruz para Perro - 1 Unidad.,1.49,https://img3.petsonic.com/11080-large_default/hobbit-alf-estrellas-tiernas-avestruz-para-perros.jpg
  Estrellas Tiernas de Avestruz para Perro - 16 Unidades,18.95,https://img3.petsonic.com/11080-large_default/hobbit-alf-estrellas-tiernas-avestruz-para-perros.jpg
  Estrellas Tiernas de Ganso para Perro - 1 Unidad.,1.49,https://img2.petsonic.com/12040-large_default/hobbit-alf-estrellas-tiernas-ganso-para-perros.jpg
  Estrellas Tiernas de Ganso para Perro - 16 Unidades,13.90,https://img2.petsonic.com/12040-large_default/hobbit-alf-estrellas-tiernas-ganso-para-perros.jpg
  Bocaditos Tiernos de Carne de Caza para Perros - 1 Unidad.,1.42,https://img1.petsonic.com/12041-large_default/hobbit-alf-bocaditos-tiernos-carne-caza-para-perros.jpg
  Bocaditos Tiernos de Carne de Caza para Perros - 16 Unidades,18.95,https://img1.petsonic.com/12041-large_default/hobbit-alf-bocaditos-tiernos-carne-caza-para-perros.jpg
  Fruit Mix para Perro - 1 Unidad.,1.79,https://img1.petsonic.com/12039-large_default/hobbit-alf-fruit-mix-para-perro.jpg
  Fruit Mix para Perro - 16 Unidades,18.95,https://img1.petsonic.com/12039-large_default/hobbit-alf-fruit-mix-para-perro.jpg
  Snack Huesitos Tiernos para Perros - Pollo,1.89,https://img2.petsonic.com/13861-large_default/hobbit-alf-snack-huesitos-tiernos-para-perros.jpg
  Snack Huesitos Tiernos para Perros - Cordero,1.89,https://img2.petsonic.com/13861-large_default/hobbit-alf-snack-huesitos-tiernos-para-perros.jpg
  Palitos Tiernos de Ternera para Perro - 13 Unidades.,2.99,https://img3.petsonic.com/5863-large_default/hobbit-alf-palitos-tiernos-ternera-para-perros.jpg
  Hueso Piel con Fluor para Perro - 13 cm,1.89,https://img1.petsonic.com/14022-large_default/hobbit-alf-hueso-piel-fluor-para-perros.jpg
  Hueso Piel con Fluor para Perro - 25 cm,5.99,https://img1.petsonic.com/14022-large_default/hobbit-alf-hueso-piel-fluor-para-perros.jpg
  Hueso Piel Sabor Barbacoa para Perro - 13 cm,1.99,https://img3.petsonic.com/14023-large_default/hobbit-alf-hueso-piel-sabor-barbacoa-para-perros.jpg
  Hueso de Piel Sabor Chocolate para Perro - 13 cm,1.99,https://img2.petsonic.com/14024-large_default/hobbit-alf-hueso-piel-sabor-chocolate-para-perros.jpg
